policy_religious_policy:0 "Religious Policy"
policy_religious_policy_desc:0 "Our empires stance on the importance and role of religon in our empire"
state_religion:0 "State religion"
state_religion_desc:0 "The goverment with so many experts have decided that there is a religion worth worshiping and will enofrce it for the the good of the nation"
religious_freedom:0 "Religious freedom"
religious_freedom_desc:0 "A person thoughts and by extension their religion (or lack of) is up to them"
state_atheism:0 "State atheism"
state_atheism_desc:0 "The goverment with so many experts have decided that there is no religion worth worshiping and will enofrce it for the the good of the nation"

policy_media_rights:0 "Media rights"
policy_media_rights_desc:0 "REPLACE_ME"
censored_media:0 "Censored media"
censored_media_desc:0 "REPLACE_ME"
free_press:0 "Free press"
free_press_desc:0 "REPLACE_ME"
